,power
0,-0.331
1,-0.336
2,-0.324
3,-0.327
4,-0.329
5,-0.323
6,-0.301
7,-0.321
8,-0.32
9,-0.317
10,-0.327
11,-0.319
12,-0.319
13,-0.308
14,-0.319
15,-0.336
16,-0.322
17,-0.314
18,-0.323
19,-0.319
20,-0.328
21,-0.309
22,-0.337
23,-0.331
24,-0.325
25,-0.337
26,-0.339
27,-0.32
28,-0.34
29,-0.33
30,-0.327
31,-0.444
32,0.129
33,2.508
34,5.104
35,6.532
36,30.062
37,23.664
38,35.198
39,36.052
40,37.659
41,46.93
42,59.439
43,56.706
44,73.845
45,64.996
46,40.353
47,40.062
48,72.847
49,80.515
50,59.332
51,47.578
52,45.365
53,50.986
54,35.251
55,42.182
56,80.254
57,74.449
58,47.68
59,67.927
60,43.375
61,52.006
62,24.594
63,25.714
64,16.418
65,14.679
66,12.791
67,9.479
68,12.775
69,8.356
70,3.576
71,1.348
72,0.829
73,-0.266
74,-0.51
75,-0.341
76,-0.335
77,-0.346
78,-0.337
79,-0.319
80,-0.323
81,-0.332
82,-0.327
83,-0.317
84,-0.327
85,-0.334
86,-0.327
87,-0.313
88,-0.319
89,-0.329
90,-0.331
91,-0.33
92,-0.321
93,-0.322
94,-0.331
95,-0.319
96,-0.323
97,-0.332
98,-0.326
99,-0.31
100,-0.308
101,-0.316
102,-0.298
103,-0.317
104,-0.322
105,-0.315
106,-0.314
107,-0.322
108,-0.308
109,-0.323
110,-0.323
111,-0.309
112,-0.309
113,-0.328
114,-0.321
115,-0.323
116,-0.322
117,-0.309
118,-0.32
119,-0.307
120,-0.323
121,-0.323
122,-0.329
123,-0.329
124,-0.321
125,-0.324
126,-0.329
127,-0.46
128,-0.192
129,1.267
130,2.698
131,8.759
132,14.683
133,12.287
134,7.532
135,9.797
136,9.296
137,11.35
138,16.424
139,16.824
140,16.914
141,27.599
142,21.882
143,21.627
144,26.54
145,24.366
146,23.539
147,18.929
148,17.406
149,31.78
150,21.137
151,20.208
152,14.864
153,14.198
154,11.539
155,14.629
156,12.458
157,9.478
158,11.293
159,10.014
160,7.657
161,7.278
162,6.53
163,6.837
164,4.515
165,2.597
166,1.906
167,0.596
168,0.303
169,-0.368
170,-0.51
171,-0.363
172,-0.332
173,-0.342
174,-0.354
175,-0.328
176,-0.319
177,-0.342
178,-0.35
179,-0.353
180,-0.319
181,-0.343
182,-0.347
183,-0.334
184,-0.362
185,-0.34
186,-0.353
187,-0.339
188,-0.339
189,-0.324
190,-0.339
191,-0.351
192,-0.333
193,-0.327
194,-0.331
195,-0.324
196,-0.337
197,-0.326
198,-0.324
199,-0.309
200,-0.324
201,-0.322
202,-0.339
203,-0.316
204,-0.33
205,-0.322
206,-0.313
207,-0.323
208,-0.318
209,-0.331
210,-0.32
211,-0.318
212,-0.325
213,-0.328
214,-0.323
215,-0.343
216,-0.316
217,-0.325
218,-0.321
219,-0.325
220,-0.326
221,-0.332
222,-0.329
223,-0.397
224,-0.3
225,0.294
226,1.865
227,2.335
228,2.522
229,3.81
230,4.215
231,4.6
232,9.407
233,8.516
234,9.937
235,11.963
236,10.155
237,15.461
238,23.352
239,14.343
240,11.188
241,11.661
242,15.071
243,10.429
244,10.568
245,12.727
246,12.166
247,11.995
248,8.251
249,10.123
250,9.222
251,6.773
252,6.961
253,7.448
254,7.697
255,7.564
256,4.841
257,4.029
258,2.561
259,1.508
260,0.625
261,1.311
262,0.7
263,-0.032
264,-0.442
265,-0.482
266,-0.439
267,-0.354
268,-0.345
269,-0.331
270,-0.341
271,-0.347
272,-0.346
273,-0.358
274,-0.333
275,-0.344
276,-0.349
277,-0.343
278,-0.336
279,-0.34
280,-0.355
281,-0.348
282,-0.347
283,-0.334
284,-0.341
285,-0.336
286,-0.319
287,-0.33
288,-0.336
289,-0.33
290,-0.337
291,-0.341
292,-0.34
293,-0.33
294,-0.331
295,-0.341
296,-0.343
297,-0.348
298,-0.35
299,-0.32
300,-0.331
301,-0.327
302,-0.331
303,-0.336
304,-0.334
305,-0.335
306,-0.318
307,-0.327
308,-0.33
309,-0.33
310,-0.345
311,-0.34
312,-0.348
313,-0.338
314,-0.345
315,-0.352
316,-0.349
317,-0.363
318,-0.365
319,-0.447
320,0.597
321,5.406
322,12.349
323,21.42
324,24.748
325,23.04
326,41.525
327,53.874
328,60.52
329,65.594
330,69.61
331,73.936
332,78.156
333,79.499
334,83.486
335,81.978
336,78.709
337,87.271
338,87.945
339,88.205
340,86.632
341,88.351
342,88.821
343,87.986
344,86.87
345,84.497
346,82.393
347,80.455
348,77.725
349,73.789
350,71.302
351,67.108
352,62.44
353,56.886
354,49.593
355,40.989
356,31.39
357,22.303
358,14.641
359,7.617
360,2.817
361,0.112
362,-0.413
363,-0.44
364,-0.343
365,-0.352
366,-0.343
367,-0.35
368,-0.337
369,-0.326
370,-0.333
371,-0.33
372,-0.336
373,-0.349
374,-0.352
375,-0.339
376,-0.34
377,-0.353
378,-0.321
379,-0.336
380,-0.329
381,-0.337
382,-0.337
383,-0.313
384,-0.327
385,-0.324
386,-0.322
387,-0.337
388,-0.335
389,-0.323
390,-0.333
391,-0.327
392,-0.334
393,-0.329
394,-0.347
395,-0.333
396,-0.337
397,-0.332
398,-0.333
399,-0.332
400,-0.328
401,-0.317
402,-0.338
403,-0.349
404,-0.337
405,-0.337
406,-0.34
407,-0.333
408,-0.342
409,-0.337
410,-0.345
411,-0.333
412,-0.339
413,-0.336
414,-0.41
415,-0.384
416,0.414
417,5.186
418,12.177
419,21.002
420,30.062
421,39.174
422,47.554
423,54.732
424,60.613
425,65.784
426,70.208
427,74.202
428,78.058
429,75.552
430,71.301
431,82.047
432,86.253
433,88.5
434,89.492
435,90.701
436,90.841
437,90.99
438,90.319
439,88.978
440,87.342
441,84.337
442,82.156
443,80.493
444,77.573
445,74.516
446,70.638
447,67.127
448,62.539
449,56.902
450,50.382
451,41.848
452,32.433
453,23.124
454,15.254
455,8.217
456,1.768
457,0.082
458,-0.391
459,-0.41
460,-0.329
461,-0.317
462,-0.33
463,-0.32
464,-0.343
465,-0.354
466,-0.319
467,-0.317
468,-0.319
469,-0.336
470,-0.328
471,-0.326
472,-0.332
473,-0.319
474,-0.333
475,-0.335
476,-0.341
477,-0.355
478,-0.345
479,-0.321
480,-0.347
481,-0.328
482,-0.33
483,-0.344
484,-0.329
485,-0.351
486,-0.333
487,-0.333
488,-0.318
489,-0.336
490,-0.343
491,-0.337
492,-0.338
493,-0.337
494,-0.321
495,-0.326
496,-0.324
497,-0.331
498,-0.332
499,-0.343
500,-0.319
501,-0.33
502,-0.319
503,-0.336
504,-0.332
505,-0.344
506,-0.349
507,-0.342
508,-0.341
509,-0.343
510,-0.38
511,-0.425
512,0.474
513,5.345
514,12.134
515,20.696
516,29.533
517,38.625
518,47.368
519,54.781
520,60.765
521,65.772
522,70.065
523,74.246
524,77.907
525,81.081
526,84.039
527,86.254
528,88.088
529,89.385
530,90.247
531,90.877
532,90.967
533,91.49
534,91.043
535,90.258
536,89.168
537,87.744
538,85.808
539,83.009
540,79.948
541,76.544
542,72.495
543,68.595
544,63.982
545,58.211
546,51.49
547,42.892
548,33.099
549,23.81
550,14.262
551,5.733
552,1.584
553,0.098
554,-0.402
555,-0.414
556,-0.314
557,-0.3
558,-0.318
559,-0.308
560,-0.33
561,-0.329
562,-0.321
563,-0.329
564,-0.322
565,-0.335
566,-0.338
567,-0.317
568,-0.328
569,-0.304
570,-0.306
571,-0.319
572,-0.32
573,-0.347
574,-0.314
575,-0.316
576,-0.322
577,-0.329
578,-0.331
579,-0.338
580,-0.337
581,-0.331
582,-0.324
583,-0.329
584,-0.318
585,-0.34
586,-0.334
587,-0.324
588,-0.328
589,-0.334
590,-0.321
591,-0.311
592,-0.32
593,-0.335
594,-0.343
595,-0.323
596,-0.349
597,-0.332
598,-0.331
599,-0.34
600,-0.338
601,-0.335
602,-0.331
603,-0.328
604,-0.341
605,-0.325
606,-0.4
607,-0.364
608,0.53
609,5.727
610,12.822
611,23.209
612,32.177
613,40.997
614,49.629
615,52.692
616,58.474
617,65.566
618,69.74
619,75.354
620,78.721
621,81.411
622,83.635
623,85.702
624,87.568
625,89.972
626,91.295
627,92.267
628,92.612
629,92.59
630,91.884
631,91.288
632,90.014
633,88.2
634,85.468
635,82.986
636,80.308
637,77.103
638,73.455
639,69.744
640,64.916
641,59.472
642,52.63
643,44.03
644,34.268
645,24.813
646,16.408
647,9.117
648,3.396
649,0.187
650,-0.373
651,-0.425
652,-0.344
653,-0.329
654,-0.329
655,-0.334
656,-0.334
657,-0.338
658,-0.333
659,-0.324
660,-0.329
661,-0.341
662,-0.323
663,-0.319
664,-0.328
665,-0.33
666,-0.336
667,-0.326
668,-0.335
669,-0.321
670,-0.33
671,-0.329
672,-0.327
673,-0.333
674,-0.339
675,-0.316
676,-0.318
677,-0.317
678,-0.319
679,-0.325
680,-0.313
681,-0.315
682,-0.316
683,-0.325
684,-0.33
685,-0.312
686,-0.328
687,-0.312
688,-0.325
689,-0.338
690,-0.333
691,-0.319
692,-0.33
693,-0.31
694,-0.328
695,-0.337
696,-0.329
697,-0.331
698,-0.345
699,-0.331
700,-0.323
701,-0.343
702,-0.401
703,-0.407
704,0.426
705,5.083
706,12.677
707,21.641
708,30.779
709,40.074
710,49.152
711,56.439
712,62.443
713,67.255
714,71.506
715,75.656
716,79.019
717,82.063
718,84.448
719,86.546
720,88.506
721,90.003
722,91.049
723,91.959
724,92.69
725,92.558
726,91.682
727,90.448
728,88.937
729,87.342
730,85.253
731,82.816
732,79.905
733,76.636
734,72.979
735,69.011
736,64.53
737,58.866
738,51.637
739,43.017
740,33.266
741,23.966
742,15.827
743,9.378
744,3.878
745,0.292
746,-0.357
747,-0.428
748,-0.332
749,-0.32
750,-0.327
751,-0.322
752,-0.322
753,-0.32
754,-0.32
755,-0.332
756,-0.325
757,-0.336
758,-0.331
759,-0.336
760,-0.34
761,-0.326
762,-0.337
763,-0.327
764,-0.334
765,-0.331
766,-0.346
767,-0.349
768,-0.343
769,-0.339
770,-0.332
771,-0.344
772,-0.331
773,-0.333
774,-0.336
775,-0.328
776,-0.326
777,-0.333
778,-0.331
779,-0.353
